chr	start	end	length	abs_summit	pileup	-LOG10(pvalue)	fold_enrichment	-LOG10(qvalue)	name
chr1	46065400	46065809	410	46065559	15	8.71551	4.98745	5.10516	o2_uniq_peak_59
chr1	47321258	47321727	470	47321481	35	21.65933	7.23113	17.67097	o2_uniq_peak_60
chr1	48450804	48451298	495	48451040	73	85.16303	24.17629	80.29388	o2_uniq_peak_61
chr1	49419874	49420231	358	49420053	22	16.36918	7.69427	12.49968	o2_uniq_peak_62
chr1	49805012	49805416	405	49805203	29	32.91177	15.04047	28.72517	o2_uniq_peak_63
chr1	52151968	52152349	382	52152207	22	8.39955	3.83019	4.80659	o2_uniq_peak_64
chr1	53855483	53855911	429	53855693	31	36.3784	16.3187	32.13946	o2_uniq_peak_65
chr1	54276355	54276674	320	54276522	20	14.08494	6.92747	10.27641	o2_uniq_peak_66
chr1	55127514	55127869	356	55127676	16	14.99825	8.52293	11.1651	o2_uniq_peak_67
chr1	55454285	55454769	485	55454541	30	25.04575	10.1279	20.99208	o2_uniq_peak_68
chr1	57297606	57297949	344	57297768	19	13.2333	6.69067	9.45051	o2_uniq_peak_69
chr1	57679999	57680453	455	57680252	33	19.75542	6.8294	15.80545	o2_uniq_peak_70
chr1	59806708	59807130	423	59806929	28	23.21806	9.75601	19.19816	o2_uniq_peak_71
chr1	62473229	62473583	355	62473402	20	20.16946	10.52833	16.21377	o2_uniq_peak_72
chr1	63091350	63091688	339	63091515	11	6.20035	4.2035	2.77049	o2_uniq_peak_73
chr1	63099981	63100357	377	63100152	15	10.08685	5.7836	6.41747	o2_uniq_peak_74
chr1	64006466	64006952	487	64006683	37	26.69445	8.96548	22.61265	o2_uniq_peak_75
chr1	65118228	65118532	305	65118376	13	6.68146	4.17256	3.20473	o2_uniq_peak_76
chr1	72602607	72602967	361	72602799	32	18.82203	6.62854	14.89295	o2_uniq_peak_77
chr1	72634406	72634941	536	72634669	124	151.21301	31.37663	145.51492	o2_uniq_peak_78
chr1	78708633	78709137	505	78708845	19	14.58244	7.46792	10.75961	o2_uniq_peak_79
chr1	88132284	88132617	334	88132457	12	9.34469	5.9698	5.7008	o2_uniq_peak_80
chr1	88340778	88341313	536	88341040	43	29.72478	8.83805	25.59029	o2_uniq_peak_81
chr1	90105456	90106038	583	90105785	22	23.21009	11.72907	19.19037	o2_uniq_peak_82
chr1	91505105	91505402	298	91505256	21	9.50311	4.41902	5.85017	o2_uniq_peak_83
chr1	91507861	91508274	414	91508069	28	22.53706	9.38423	18.53275	o2_uniq_peak_84
chr1	92448352	92448915	564	92448652	78	80.72356	19.83003	75.91336	o2_uniq_peak_85
chr1	92694018	92694524	507	92694262	53	71.91389	27.07284	67.22793	o2_uniq_peak_86
chr1	94566677	94567034	358	94566841	28	15.22112	5.82508	11.38265	o2_uniq_peak_87
chr1	94892043	94892352	310	94892212	20	11.91668	5.75395	8.17572	o2_uniq_peak_88
chr1	97539592	97539988	397	97539809	21	11.84157	5.52229	8.10534	o2_uniq_peak_89
chr1	100710639	100710935	297	100710785	18	9.38511	4.81736	5.73636	o2_uniq_peak_90
chr1	101831395	101831841	447	101831631	33	30.81348	12.29015	26.65865	o2_uniq_peak_91
chr1	102893858	102894177	320	102894019	17	11.24616	6.0216	7.52784	o2_uniq_peak_92
chr1	104199624	104200098	475	104199872	58	71.36845	24.15464	66.68861	o2_uniq_peak_93
chr1	105906574	105906937	364	105906724	14	12.55585	7.52023	8.79724	o2_uniq_peak_94
chr1	107011971	107012311	341	107012157	43	22.81923	6.31484	18.80877	o2_uniq_peak_95
chr1	107218000	107218317	318	107218104	8	5.37838	4.13294	2.05578	o2_uniq_peak_96
chr1	111727815	111728200	386	111727969	18	10.21409	5.24829	6.53796	o2_uniq_peak_97
chr1	112214974	112215309	336	112215136	18	9.29063	4.76925	5.649	o2_uniq_peak_98
chr1	113452496	113452898	403	113452729	24	18.55294	8.36334	14.63161	o2_uniq_peak_99
chr1	113819455	113819961	507	113819729	74	91.09331	26.82515	86.14726	o2_uniq_peak_100
chr1	116054529	116054824	296	116054636	15	5.98525	3.52976	2.57851	o2_uniq_peak_101
chr1	116400025	116400396	372	116400217	13	6.68146	4.17256	3.20473	o2_uniq_peak_102
chr1	116996832	116997173	342	116996997	17	10.51983	5.61088	6.82772	o2_uniq_peak_103
chr1	117362886	117363417	532	117363154	86	92.29904	21.83814	87.3372	o2_uniq_peak_104
chr1	117993818	117994566	749	117994089	123	98.9124	13.844	93.86403	o2_uniq_peak_105
chr1	118396322	118396801	480	118396565	43	42.01018	14.65705	37.69789	o2_uniq_peak_106
chr1	119286963	119287511	549	119287206	61	74.18476	24.21537	69.46824	o2_uniq_peak_107
chr1	122354779	122355176	398	122354992	41	21.09086	6.0278	17.11611	o2_uniq_peak_108
chr1	122415704	122416274	571	122415992	141	128.76149	17.83397	123.34563	o2_uniq_peak_109
chr1	122460315	122460654	340	122460495	27	17.43926	7.02837	13.54479	o2_uniq_peak_110
chr1	122579297	122579624	328	122579452	22	12.73116	5.7733	8.96548	o2_uniq_peak_111
chr1	124085365	124085944	580	124085660	87	112.05411	31.14687	106.84664	o2_uniq_peak_112
chr1	127255018	127255512	495	127255277	61	57.33648	15.56281	52.83328	o2_uniq_peak_113
chr1	127863794	127864343	550	127864093	87	102.54016	26.2275	97.44788	o2_uniq_peak_114
chr1	128608259	128608734	476	128608512	54	38.09258	9.63136	33.83102	o2_uniq_peak_115
chr1	128645517	128645938	422	128645732	36	30.94534	11.3256	26.78915	o2_uniq_peak_116
chr1	128735209	128735567	359	128735396	20	14.25886	7.0252	10.44584	o2_uniq_peak_117
chr1	129074441	129074873	433	129074660	54	50.95789	15.06988	46.53222	o2_uniq_peak_118
chr1	130619883	130620406	524	130620151	80	73.89241	16.27004	69.17836	o2_uniq_peak_119
chr1	132572458	132572914	457	132572662	55	39.16839	9.80647	34.89227	o2_uniq_peak_120
chr1	135783060	135783518	459	135783293	49	31.76707	8.37087	27.59847	o2_uniq_peak_121
chr1	136022085	136022500	416	136022264	32	18.82203	6.62854	14.89295	o2_uniq_peak_122
chr1	138283646	138284048	403	138283824	38	24.6031	7.83372	20.55801	o2_uniq_peak_123
chr1	139462435	139462931	497	139462675	63	65.31433	18.58531	60.7149	o2_uniq_peak_124
chr1	139512202	139512497	296	139512342	12	7.29115	4.69918	3.76227	o2_uniq_peak_125
chr1	139714165	139714708	544	139714425	75	76.47102	19.07699	71.72591	o2_uniq_peak_126
chr1	139880917	139881403	487	139881180	48	43.17487	13.42589	38.8468	o2_uniq_peak_127
chr1	140152339	140152754	416	140152571	29	24.58471	10.19338	20.54126	o2_uniq_peak_128
chr1	141038793	141039228	436	141039007	41	31.55284	10.1201	27.38875	o2_uniq_peak_129
chr1	141550930	141551490	561	141551199	80	97.42285	27.09721	92.39371	o2_uniq_peak_130
chr1	141788247	141788622	376	141788449	41	21.09086	6.0278	17.11611	o2_uniq_peak_131
chr1	141960765	141961262	498	141961015	83	101.02485	27.44336	95.94831	o2_uniq_peak_132
chr1	144432235	144432543	309	144432372	18	7.3232	3.81643	3.79066	o2_uniq_peak_133
chr1	145151310	145151651	342	145151472	28	10.94436	4.16205	7.24388	o2_uniq_peak_134
chr1	145316621	145316986	366	145316805	24	16.87148	7.45099	12.98835	o2_uniq_peak_135
chr1	147268084	147268616	533	147268370	61	57.33648	15.56281	52.83328	o2_uniq_peak_136
chr1	150425363	150425958	596	150425674	116	129.98874	25.81137	124.55987	o2_uniq_peak_137
chr1	151449885	151450388	504	151450134	69	94.87393	31.71627	89.88001	o2_uniq_peak_138
chr1	153282371	153282686	316	153282517	29	11.64905	4.30557	7.91859	o2_uniq_peak_139
chr1	154091349	154091759	411	154091561	32	25.65319	9.83531	21.58923	o2_uniq_peak_140
chr1	156393486	156393911	426	156393685	23	20.37567	9.7086	16.41527	o2_uniq_peak_141
chr1	159811192	159811487	296	159811339	11	9.27215	6.11951	5.63494	o2_uniq_peak_142
chr1	159966936	159967342	407	159967126	52	22.98948	5.32579	18.97608	o2_uniq_peak_143
chr1	162407551	162407896	346	162407716	21	13.84211	6.55687	10.04011	o2_uniq_peak_144
chr1	162788383	162788880	498	162788636	38	29.05552	9.78951	24.93275	o2_uniq_peak_145
chr1	164629276	164629669	394	164629462	22	16.36918	7.69427	12.49968	o2_uniq_peak_146
chr1	165652224	165652706	483	165652471	52	53.86459	17.31545	49.40253	o2_uniq_peak_147
chr1	166058890	166059322	433	166059111	33	25.1983	9.31592	21.14306	o2_uniq_peak_148
chr1	166607857	166608368	512	166608131	53	46.99699	13.55471	42.61749	o2_uniq_peak_149
chr1	166805840	166806304	465	166806092	23	17.11338	7.84096	13.22407	o2_uniq_peak_150
chr1	168569565	168569988	424	168569781	42	17.41853	4.80074	13.52625	o2_uniq_peak_151
chr1	171770998	171771342	345	171771184	23	10.74329	4.68594	7.04611	o2_uniq_peak_152
chr1	174224372	174224758	387	174224555	15	13.76398	8.02158	9.96659	o2_uniq_peak_153
chr1	174298162	174298477	316	174298329	15	11.62813	6.71222	7.89827	o2_uniq_peak_154
chr1	175612348	175612912	565	175612632	106	137.4603	33.97718	131.93849	o2_uniq_peak_155
chr1	175867888	175868386	499	175868121	37	33.88125	12.53542	29.67978	o2_uniq_peak_156
chr1	178032279	178032746	468	178032517	44	28.92519	8.30855	24.80499	o2_uniq_peak_157
chr1	178731255	178731633	379	178731437	18	14.20144	7.50716	10.39069	o2_uniq_peak_158
chr1	179986072	179986367	296	179986224	10	8.17282	5.60955	4.59184	o2_uniq_peak_159
chr1	183557525	183558051	527	183557783	113	167.89645	46.11584	161.98201	o2_uniq_peak_160
chr1	183669815	183670339	525	183670069	153	136.20773	17.19335	130.69852	o2_uniq_peak_161
chr1	184699621	184699916	296	184699755	13	11.37551	7.01889	7.65254	o2_uniq_peak_162
chr1	185340089	185340411	323	185340231	18	17.53948	9.52563	13.63836	o2_uniq_peak_163
chr1	187876209	187876521	313	187876387	24	11.85394	5.02162	8.11556	o2_uniq_peak_164
chr1	188697842	188698143	302	188697987	12	6.70947	4.34894	3.22655	o2_uniq_peak_165
chr1	189189745	189190218	474	189189986	24	21.60673	10.11312	17.6202	o2_uniq_peak_166
chr1	189591617	189592095	479	189591807	17	12.44836	6.72113	8.69246	o2_uniq_peak_167
chr1	191095912	191096278	367	191096059	21	12.20794	5.70577	8.45864	o2_uniq_peak_168
chr1	192600503	192601051	549	192600768	97	124.0837	32.01725	118.72832	o2_uniq_peak_169
chr1	193869699	193870035	337	193869877	11	9.10606	6.01619	5.48085	o2_uniq_peak_170
chr1	194688347	194688922	576	194688628	89	105.69997	26.82358	100.56899	o2_uniq_peak_171
chr1	198423800	198424355	556	198424074	108	128.19273	28.48699	122.78529	o2_uniq_peak_172
chr1	198470733	198471113	381	198470924	11	4.65568	3.28797	1.48807	o2_uniq_peak_173
chr1	198992787	198993388	602	198993096	153	180.85011	30.93317	174.80908	o2_uniq_peak_174
chr1	201626261	201626649	389	201626442	26	15.42436	6.28293	11.57898	o2_uniq_peak_175
chr1	201956512	201957046	535	201956771	51	69.21583	26.51789	64.56716	o2_uniq_peak_176
chr1	202168605	202168986	382	202168743	17	8.48274	4.51824	4.87881	o2_uniq_peak_177
chr1	205416189	205416562	374	205416382	13	6.94612	4.32433	3.44971	o2_uniq_peak_178
chr1	207529341	207530022	682	207529709	70	81.57467	23.75188	76.75591	o2_uniq_peak_179
chr1	208824606	208824901	296	208824808	16	10.28679	5.68707	6.60258	o2_uniq_peak_180
chr1	209173592	209174033	442	209173828	27	12.05728	4.68769	8.31126	o2_uniq_peak_181
chr1	211593977	211594425	449	211594185	22	22.88	11.53103	18.86744	o2_uniq_peak_182
chr1	215615005	215615546	542	215615263	114	163.33394	42.94056	157.48563	o2_uniq_peak_183
chr1	217896639	217897043	405	217896841	22	22.88	11.53103	18.86744	o2_uniq_peak_184
chr1	217943318	217943613	296	217943464	14	6.27379	3.80318	2.83744	o2_uniq_peak_185
chr1	219279240	219279623	384	219279422	22	17.31037	8.22638	13.41887	o2_uniq_peak_186
chr1	223929376	223929697	322	223929536	15	9.13521	5.22731	5.50718	o2_uniq_peak_187
chr1	225079770	225080225	456	225080010	52	52.33924	16.52092	47.89562	o2_uniq_peak_188
chr1	225500537	225501191	655	225501043	16	7.69787	4.26722	4.14171	o2_uniq_peak_189
chr1	226933434	226933939	506	226933723	25	15.50664	6.52634	11.65783	o2_uniq_peak_190
chr1	228450075	228450531	457	228450277	41	27.06085	8.2004	22.97051	o2_uniq_peak_191
chr1	231391872	231392227	356	231392099	14	6.8417	4.10997	3.35325	o2_uniq_peak_192
chr1	232593221	232593779	559	232593479	126	203.61906	57.54237	197.35927	o2_uniq_peak_193
chr1	235487135	235487430	296	235487191	12	6.70947	4.34894	3.22655	o2_uniq_peak_194
chr1	235488768	235489239	472	235488985	35	25.73797	9.03647	21.67096	o2_uniq_peak_195
chr1	236239680	236240146	467	236239911	41	33.39443	10.97664	29.20027	o2_uniq_peak_196
chr1	237989826	237990121	296	237989963	12	10.22486	6.51754	6.5458	o2_uniq_peak_197
chr1	238227749	238228083	335	238227923	27	12.05728	4.68769	8.31126	o2_uniq_peak_198
chr1	238819115	238819625	511	238819376	94	92.75048	19.08215	87.78294	o2_uniq_peak_199
chr1	238848295	238848683	389	238848485	28	24.32566	10.37239	20.28611	o2_uniq_peak_200
chr1	242155888	242156357	470	242156131	33	22.60545	8.07786	18.59997	o2_uniq_peak_201
chr1	243781892	243782236	345	243782096	24	14.56439	6.27533	10.7419	o2_uniq_peak_202
chr1	244762925	244763439	515	244763198	41	27.64535	8.43632	23.54629	o2_uniq_peak_203
chr1	244854232	244854544	313	244854399	11	5.88885	4.0144	2.50317	o2_uniq_peak_204
chr1	248404156	248404693	538	248404424	95	120.73361	31.36384	115.41812	o2_uniq_peak_205
chr1	249309998	249310350	353	249310189	27	10.25414	4.01854	6.57417	o2_uniq_peak_206
chr1	251038631	251038997	367	251038783	22	14.83383	6.85491	11.00517	o2_uniq_peak_207
chr1	251139518	251139835	318	251139674	28	21.43911	8.79754	17.45817	o2_uniq_peak_208
chr1	251756297	251756689	393	251756487	21	12.74504	5.97971	8.97872	o2_uniq_peak_209
chr1	251925180	251925563	384	251925368	28	13.3996	5.07835	9.61343	o2_uniq_peak_210
chr1	253798826	253799336	511	253799063	29	30.78805	13.77645	26.6337	o2_uniq_peak_211
chr1	254095744	254096161	418	254095943	33	19.75542	6.8294	15.80545	o2_uniq_peak_212
chr1	256519492	256519945	454	256519750	20	20.4697	10.70915	16.50369	o2_uniq_peak_213
chr1	256935810	256936276	467	256936157	21	11.84157	5.52229	8.10534	o2_uniq_peak_214
chr1	256981245	256981540	296	256981461	10	8.17282	5.60955	4.59184	o2_uniq_peak_215
chr1	257261243	257261655	413	257261448	14	12.76659	7.64939	8.99801	o2_uniq_peak_216
chr1	258423395	258423905	511	258423648	68	58.5553	13.85967	54.03812	o2_uniq_peak_217
chr1	259372616	259372992	377	259372811	22	12.01856	5.42648	8.27421	o2_uniq_peak_218
chr1	261773548	261773922	375	261773756	39	25.6066	8.03459	21.54422	o2_uniq_peak_219
chr1	262326344	262326639	296	262326505	17	8.57145	4.56381	4.96414	o2_uniq_peak_220
chr1	263154871	263155211	341	263155040	22	12.73116	5.7733	8.96548	o2_uniq_peak_221
chr1	263222508	263223056	549	263222802	122	142.77031	28.62222	137.18823	o2_uniq_peak_222
chr1	264912732	264913301	570	264913031	112	147.72701	35.88245	142.08621	o2_uniq_peak_223
chr1	266335119	266335436	318	266335284	16	5.97697	3.4147	2.57147	o2_uniq_peak_224
chr1	267394100	267394424	325	267394244	14	7.56045	4.51017	4.01451	o2_uniq_peak_225
chr1	267558014	267558488	475	267558252	49	44.45112	13.69989	40.1055	o2_uniq_peak_226
chr1	268153277	268153613	337	268153450	30	17.82388	6.5824	13.91737	o2_uniq_peak_227
chr1	268731126	268731421	296	268731339	15	7.6275	4.38396	4.07712	o2_uniq_peak_228
chr1	269882218	269882610	393	269882410	37	33.65623	12.41485	29.4571	o2_uniq_peak_229
chr1	270381168	270381463	296	270381314	16	7.69787	4.26722	4.14171	o2_uniq_peak_230
chr1	270620211	270620604	394	270620408	17	16.51266	9.17927	12.63737	o2_uniq_peak_231
chr1	271770209	271770608	400	271770404	26	16.46512	6.77735	12.59212	o2_uniq_peak_232
chr1	271902042	271902436	395	271902231	59	42.09282	9.9918	37.77746	o2_uniq_peak_233
chr1	272337762	272338112	351	272337946	39	19.40305	5.74077	15.46347	o2_uniq_peak_234
chr1	272839760	272840109	350	272839947	14	11.23579	6.70688	7.51988	o2_uniq_peak_235
chr1	273848687	273848995	309	273848857	15	5.3393	3.21384	2.02981	o2_uniq_peak_236
chr1	273981627	273982271	645	273982036	106	92.23385	15.53394	87.27442	o2_uniq_peak_237
chr1	274086339	274086923	585	274086634	134	167.62105	33.88676	161.71445	o2_uniq_peak_238
chr1	274122274	274122792	519	274122524	95	115.29289	28.61181	110.04504	o2_uniq_peak_239
chr1	274202241	274202744	504	274202475	65	75.38332	22.88325	70.65216	o2_uniq_peak_240
chr1	275470049	275470536	488	275470298	45	41.15908	13.47338	36.85547	o2_uniq_peak_241
chr1	275829851	275830149	299	275830096	19	8.02943	4.01729	4.45618	o2_uniq_peak_242
chr1	276118595	276119043	449	276118820	25	19.67054	8.69787	15.72307	o2_uniq_peak_243
chr1	277252887	277253391	505	277253134	80	84.72655	20.8484	79.86506	o2_uniq_peak_244
chr1	277315393	277315844	452	277315605	31	15.21736	5.35736	11.38051	o2_uniq_peak_245
chr1	280225448	280225997	550	280225717	123	162.05972	36.95693	156.22685	o2_uniq_peak_246
chr1	280343341	280343683	343	280343513	17	13.38824	7.28145	9.60232	o2_uniq_peak_247
chr1	281275688	281276240	553	281275961	62	58.66138	15.81382	54.14231	o2_uniq_peak_248
chr1	281332302	281332676	375	281332457	25	11.069	4.553	7.35945	o2_uniq_peak_249
chr1	282324144	282324439	296	282324314	13	9.64384	5.94663	5.98766	o2_uniq_peak_250
chr1	284030199	284030535	337	284030365	19	13.41819	6.79559	9.6317	o2_uniq_peak_251
chr1	284528059	284528354	296	284528166	9	6.31244	4.59215	2.87001	o2_uniq_peak_252
chr1	284951306	284951608	303	284951454	15	11.2341	6.4724	7.51845	o2_uniq_peak_253
chr1	287294752	287295047	296	287294891	18	7.3232	3.81643	3.79066	o2_uniq_peak_254
chr1	287547540	287548087	548	287547796	90	87.2654	18.27869	82.37144	o2_uniq_peak_255
chr1	288394967	288395269	303	288395110	28	15.64587	6.00751	11.79314	o2_uniq_peak_256
chr1	288593258	288593695	438	288593458	32	27.44307	10.78132	23.34846	o2_uniq_peak_257
chr1	288657422	288657786	365	288657565	25	12.33221	5.07644	8.57815	o2_uniq_peak_258
chr1	290011850	290012191	342	290011993	20	14.25886	7.0252	10.44584	o2_uniq_peak_259
chr1	290718583	290718965	383	290718772	25	19.67054	8.69787	15.72307	o2_uniq_peak_260
chr1	293051130	293051494	365	293051300	16	14.36558	8.13667	10.54938	o2_uniq_peak_261
chr1	294547845	294548152	308	294548060	14	8.24148	4.9006	4.65504	o2_uniq_peak_262
chr1	298117663	298118160	498	298117923	99	127.45142	32.67066	122.04868	o2_uniq_peak_263
chr1	298984044	298984540	497	298984287	58	46.45681	11.85102	42.08515	o2_uniq_peak_264
chr1	300100020	300100394	375	300100229	28	15.64587	6.00751	11.79314	o2_uniq_peak_265
chr1	300741587	300741903	317	300741746	20	12.47309	6.04661	8.71662	o2_uniq_peak_266
chr10	1537472	1537978	507	1537720	60	48.82185	12.25275	44.42149	o2_uniq_peak_267
chr10	1714605	1714969	365	1714780	13	9.89039	6.09918	6.22805	o2_uniq_peak_268
chr10	2686732	2687028	297	2686923	11	7.25291	4.8543	3.72939	o2_uniq_peak_269
chr10	3061271	3061773	503	3061527	62	87.87003	31.58498	82.96649	o2_uniq_peak_270
chr10	3132584	3133110	527	3132735	15	9.35191	5.35254	5.70431	o2_uniq_peak_271
chr10	6971829	6972246	418	6972055	50	37.29842	10.2441	33.04695	o2_uniq_peak_272
chr10	8356168	8356651	484	8356381	19	19.12923	10.19919	15.1949	o2_uniq_peak_273
chr10	10058559	10058900	342	10058731	18	13.37295	7.01739	9.5882	o2_uniq_peak_274
chr10	11601405	11601828	424	11601624	26	28.90637	13.76891	24.78637	o2_uniq_peak_275
chr10	14323796	14324292	497	14324018	49	44.45112	13.69989	40.1055	o2_uniq_peak_276
chr10	14764513	14764879	367	14764708	18	17.53948	9.52563	13.63836	o2_uniq_peak_277
chr10	17419042	17419521	480	17419289	71	70.88074	18.07294	66.20804	o2_uniq_peak_278
chr10	21018140	21018560	421	21018347	41	31.08587	9.90922	26.92777	o2_uniq_peak_279
chr10	22261587	22261895	309	22261743	20	10.97103	5.27127	7.26749	o2_uniq_peak_280
chr10	22974542	22974914	373	22974749	18	16.2211	8.72509	12.35684	o2_uniq_peak_281
chr10	24920620	24920977	358	24920771	21	15.30445	7.35974	11.46108	o2_uniq_peak_282
chr10	27055126	27055451	326	27055300	22	12.73116	5.7733	8.96548	o2_uniq_peak_283
chr10	28970408	28970910	503	28970669	66	80.21674	25.01754	75.41914	o2_uniq_peak_284
chr10	30838988	30839407	420	30839189	29	13.60919	5.02252	9.81773	o2_uniq_peak_285
chr10	31578919	31579451	533	31579141	56	60.43137	19.06841	55.89123	o2_uniq_peak_286
chr10	31821438	31821839	402	31821622	22	16.44651	7.73752	12.57619	o2_uniq_peak_287
chr10	32955080	32955545	466	32955305	41	51.03797	20.68533	46.61136	o2_uniq_peak_288
chr10	33075846	33076311	466	33076080	36	34.74256	13.37458	30.53001	o2_uniq_peak_289
chr10	33949628	33949923	296	33949797	16	14.99825	8.52293	11.1651	o2_uniq_peak_290
chr10	34667474	34667821	348	34667683	11	5.88885	4.0144	2.50317	o2_uniq_peak_291
chr10	37154918	37155213	296	37155122	13	7.76672	4.80498	4.20838	o2_uniq_peak_292
chr10	40127785	40128147	363	40127960	14	8.44296	5.018	4.84432	o2_uniq_peak_293
chr10	40330331	40330664	334	40330495	16	10.05486	5.55401	6.38818	o2_uniq_peak_294
chr10	41298376	41298725	350	41298565	11	8.66986	5.74353	5.06017	o2_uniq_peak_295
