gid	n_mu	mid	sids	n_mu_p	fam	fam_size	fam_idx	fam_idx_size	tf	gid_W22	map_type	ttype	impact	eff
Zm00001d000065	1	mu1019564	UFMu-00717	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	no_change	NA
Zm00001d000071	1	mu1081797	UFMu-09600	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	missense_variant
Zm00001d000076	2	mu1070249|mu1090704	UFMu-02555|UFMu-12275	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	moderate	missense_variant
Zm00001d000087	2	mu1029031|mu1090704	UFMu-02555|UFMu-12275	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000116	2	mu1038606|mu1041199	UFMu-02730|UFMu-04765	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	moderate	missense_variant
Zm00001d000122	5	mu1032615|mu1032615|mu1070984|mu1076791|mu1090360	UFMu-02557|UFMu-11257|UFMu-02510|UFMu-09101|UFMu-13149	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	moderate	disruptive_inframe_insertion
Zm00001d000123	1	mu1076790	UFMu-09012	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	moderate	missense_variant
Zm00001d000135	1	mu1034861	UFMu-03291	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	no_change	NA
Zm00001d000150	1	mu1004245	UFMu-00253	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	modifier	3_prime_UTR_variant
Zm00001d000152	1	mu1029031	UFMu-02555	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	no_change	NA
Zm00001d000156	1	mu1077115	UFMu-09031	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	no_change	NA
Zm00001d000160	1	mu1045169	UFMu-05698	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	no_change	NA
Zm00001d000168	2	mu1030136|mu1077244	UFMu-02845|UFMu-08988	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000170	3	mu1059724|mu1069420|mu1086331	UFMu-07768|UFMu-08819|UFMu-10963	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000179	1	mu1009911	UFMu-00252	1	ERF	177	1	1/177	TRUE	NA	NA	mRNA	no_change	NA
Zm00001d000197	1	mu1048873	UFMu-06512	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	moderate	disruptive_inframe_deletion
Zm00001d000220	2	mu1030251|mu1035071	UFMu-02559|UFMu-03349	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000233	1	mu1088622	UFMu-13498	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000293	1	mu1057777	UFMu-07437	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000299	1	mu1067293	UFMu-08317	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000301	2	mu1022985|mu1056599	UFMu-02232,UFMu-06802|UFMu-07472	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000307	3	mu1034494|mu1082446|mu1091324	UFMu-03510,UFMu-04986|UFMu-09509|UFMu-13063	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000310	2	mu1039308|mu1045578	UFMu-03228,UFMu-06570|UFMu-05837	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000312	1	mu1050871	UFMu-06518	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000320	1	mu1080247	UFMu-00767	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000345	4	mu1042659|mu1074435|mu1092369|mu1092370	UFMu-05282|UFMu-03733,UFMu-05693,UFMu-10403|UFMu-11720|UFMu-12081,UFMu-12534	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000350	1	mu1037702	UFMu-03734	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	modifier	intron_variant
Zm00001d000358	2	mu1092558|mu1095208	UFMu-13720|UFMu-11173	2	ARF	36	1	1/36	TRUE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000360	2	mu1042595|mu1060588	UFMu-04900|UFMu-07955	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	moderate	missense_variant
Zm00001d000377	2	mu1040888|mu1059272	UFMu-04454|UFMu-08145	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000381	1	mu1091106	UFMu-11306	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000390	1	mu1040188	UFMu-03800	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000396	2	mu1022233|mu1057769	UFMu-01867|UFMu-07315	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	no_change	NA
Zm00001d000402	1	mu1053308	UFMu-06714	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000408	5	mu1017576|mu1021497|mu1030834|mu1085316|mu1085316	UFMu-00800|UFMu-01280|UFMu-02667,UFMu-03191,UFMu-05547|UFMu-10324|UFMu-11658	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000410	1	mu1066821	UFMu-08292	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000411	1	mu1052626	UFMu-06547,UFMu-07293	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000424	7	mu1030726|mu1031059|mu1031059|mu1035414|mu1060528|mu1086862|mu1092441	UFMu-02634|UFMu-02537|UFMu-05983|UFMu-03291|UFMu-08014|UFMu-10620|UFMu-11337	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000428	1	mu1054622	UFMu-06963	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000436	3	mu1007772|mu1054078|mu1054079	UFMu-00017|UFMu-06847|UFMu-06953	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000439	1	mu1066409	UFMu-08802	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	modifier	intron_variant
Zm00001d001763	1	mu1017468	UFMu-00644	1	NA	NA	NA	NA	FALSE	Zm00004b005869	One-to-One	mRNA	low	synonymous_variant
Zm00001d001766	1	mu1031892	UFMu-02691	1	NA	NA	NA	NA	FALSE	Zm00004b005871	One-to-One	mRNA	no_change	NA
Zm00001d001767	1	mu1008405	UFMu-00215	1	NA	NA	NA	NA	FALSE	Zm00004b005872	One-to-One	mRNA	high	start_lost
Zm00001d001776	1	mu1047492	UFMu-06438	1	NA	NA	NA	NA	FALSE	Zm00004b005880	One-to-One	mRNA	no_change	NA
Zm00001d001780	1	mu1035103	UFMu-03291	1	NA	NA	NA	NA	FALSE	Zm00004b005883	One-to-One	mRNA	high	frameshift_variant
Zm00001d001781	1	mu1038080	UFMu-04172	1	NA	NA	NA	NA	FALSE	Zm00004b005884	One-to-One	mRNA	high	frameshift_variant
Zm00001d001786	3	mu1014271|mu1040949|mu1051144	UFMu-02019|UFMu-04763|UFMu-06277	>=3	NA	NA	NA	NA	FALSE	Zm00004b005887	One-to-One	mRNA	moderate	missense_variant
Zm00001d001806	1	mu1070900	UFMu-02715	1	NA	NA	NA	NA	FALSE	Zm00004b005900	One-to-One	mRNA	moderate	missense_variant
Zm00001d001813	3	mu1037802|mu1040799|mu1052232	UFMu-03287|UFMu-04763|UFMu-06715	>=3	NA	NA	NA	NA	FALSE	Zm00004b005908	One-to-One	mRNA	high	frameshift_variant
Zm00001d001814	2	mu1033052|mu1033052	UFMu-02672,UFMu-08695|UFMu-11151	2	NA	NA	NA	NA	FALSE	Zm00004b005909	One-to-One	mRNA	moderate	missense_variant
Zm00001d001817	1	mu1059082	UFMu-08145	1	NA	NA	NA	NA	FALSE	Zm00004b005911	One-to-One	mRNA	moderate	missense_variant
Zm00001d001819	2	mu1034150|mu1076481	UFMu-03479|UFMu-09139	2	NA	NA	NA	NA	FALSE	Zm00004b005913	One-to-One	mRNA	high	frameshift_variant
Zm00001d001825	4	mu1007160|mu1019942|mu1029018|mu1040809	UFMu-00423|UFMu-00948|UFMu-02507|UFMu-04718	>=3	NA	NA	NA	NA	FALSE	Zm00004b005917	One-to-One	mRNA	moderate	conservative_inframe_insertion
Zm00001d001827	2	mu1059090|mu1089866	UFMu-08171|UFMu-11440	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	high	frameshift_variant
Zm00001d001833	1	mu1043656	UFMu-04895	1	NA	NA	NA	NA	FALSE	Zm00004b005924,Zm00004b005926	Many-to-Many	mRNA	moderate	conservative_inframe_deletion
Zm00001d001841	1	mu1089907	UFMu-12975	1	NA	NA	NA	NA	FALSE	Zm00004b005931	One-to-One	mRNA	non-syntenic	missense_variant
Zm00001d001842	3	mu1031428|mu1043651|mu1085868	UFMu-02728,UFMu-03092,UFMu-04991|UFMu-05321|UFMu-10889	>=3	NA	NA	NA	NA	FALSE	Zm00004b005932	One-to-One	mRNA	no_change	NA
Zm00001d001844	1	mu1070920	UFMu-02943	1	NA	NA	NA	NA	FALSE	Zm00004b005934	One-to-One	mRNA	moderate	missense_variant
Zm00001d001846	2	mu1013917|mu1013917	UFMu-03363,UFMu-09512,UFMu-10684,UFMu-11299|UFMu-06280,UFMu-06919,UFMu-08161	2	NA	NA	NA	NA	FALSE	Zm00004b005936	One-to-One	mRNA	moderate	missense_variant
Zm00001d001850	1	mu1044730	UFMu-05764	1	NA	NA	NA	NA	FALSE	Zm00004b005941	One-to-One	mRNA	non-syntenic	frameshift_variant
Zm00001d001858	2	mu1007636|mu1083151	UFMu-00253,UFMu-01155,UFMu-03722,UFMu-05786,UFMu-05970|UFMu-10378	2	NA	NA	NA	NA	FALSE	Zm00004b005951	One-to-One	mRNA	moderate	conservative_inframe_deletion
Zm00001d001859	1	mu1047288	UFMu-06519	1	NA	NA	NA	NA	FALSE	Zm00004b005952	One-to-One	mRNA	moderate	disruptive_inframe_insertion
Zm00001d001860	1	mu1047292	UFMu-05983	1	NA	NA	NA	NA	FALSE	Zm00004b005953	One-to-One	mRNA	moderate	missense_variant
Zm00001d001864	5	mu1037924|mu1040855|mu1055853|mu1069251|mu1090060	UFMu-03780|UFMu-04508|UFMu-07317|UFMu-08628|UFMu-11796	>=3	NA	NA	NA	NA	FALSE	Zm00004b005957	One-to-One	mRNA	modifier	intron_variant
Zm00001d001868	1	mu1007478	UFMu-00206	1	NA	NA	NA	NA	FALSE	Zm00004b005959	One-to-One	mRNA	high	frameshift_variant
Zm00001d001869	1	mu1035329	UFMu-03517	1	NA	NA	NA	NA	FALSE	Zm00004b005960	One-to-One	mRNA	moderate	disruptive_inframe_insertion
Zm00001d001871	1	mu1080859	UFMu-09463	1	NA	NA	NA	NA	FALSE	Zm00004b005962	One-to-One	mRNA	high	frameshift_variant
Zm00001d001877	3	mu1030936|mu1072214|mu1090151	UFMu-02834|UFMu-01984|UFMu-13809	>=3	NA	NA	NA	NA	FALSE	Zm00004b005963	One-to-One	mRNA	moderate	missense_variant
Zm00001d001882	1	mu1037748	UFMu-02549,UFMu-05305	1	NA	NA	NA	NA	FALSE	Zm00004b005967	One-to-One	mRNA	modifier	3_prime_UTR_variant
Zm00001d001883	2	mu1066633|mu1076694	UFMu-08597|UFMu-09287,UFMu-10574	2	NA	NA	NA	NA	FALSE	Zm00004b005968	One-to-One	mRNA	low	splice_region_variant
Zm00001d001887	1	mu1059272	UFMu-08145	1	NA	NA	NA	NA	FALSE	Zm00004b005970	One-to-One	mRNA	non-syntenic	missense_variant
Zm00001d001900	2	mu1040891|mu1085979	UFMu-04383|UFMu-10927	2	NA	NA	NA	NA	FALSE	Zm00004b005980	One-to-One	mRNA	high	frameshift_variant
Zm00001d001901	1	mu1047410	UFMu-06488	1	NA	NA	NA	NA	FALSE	Zm00004b005982	One-to-One	mRNA	moderate	missense_variant
Zm00001d001903	2	mu1055929|mu1094556	UFMu-07526|UFMu-11366	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d001906	2	mu1029507|mu1066646	UFMu-02907|UFMu-08568	2	NA	NA	NA	NA	FALSE	Zm00004b005984	One-to-One	mRNA	high	stop_gained
Zm00001d001909	2	mu1034172|mu1090236	UFMu-03227|UFMu-11204	2	NA	NA	NA	NA	FALSE	Zm00004b005986	One-to-One	mRNA	moderate	disruptive_inframe_insertion
Zm00001d001910	1	mu1033128	UFMu-02612	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	high	frameshift_variant
Zm00001d001914	1	mu1087742	UFMu-11021	1	NA	NA	NA	NA	FALSE	Zm00004b005989	One-to-One	mRNA	moderate	missense_variant
Zm00001d001917	2	mu1009496|mu1018606	UFMu-00381|UFMu-00749	2	NA	NA	NA	NA	FALSE	Zm00004b005995	One-to-Many	mRNA	non-syntenic	NA
Zm00001d001923	2	mu1009496|mu1018606	UFMu-00381|UFMu-00749	2	NA	NA	NA	NA	FALSE	Zm00004b005994,Zm00004b005995,Zm00004b005996,Zm00004b005997	Many-to-Many,Many-to-One	mRNA	high	frameshift_variant
Zm00001d001931	1	mu1090249	UFMu-12009	1	NA	NA	NA	NA	FALSE	Zm00004b006003	One-to-One	mRNA	no_change	NA
Zm00001d001933	1	mu1076720	UFMu-09235	1	C3H	55	1	1/55	TRUE	Zm00004b006005	One-to-One	mRNA	modifier	3_prime_UTR_variant
Zm00001d001940	2	mu1066664|mu1087746	UFMu-08557|UFMu-10869	2	NA	NA	NA	NA	FALSE	Zm00004b006014	One-to-One	mRNA	moderate	missense_variant
Zm00001d001941	1	mu1084693	UFMu-10004	1	NA	NA	NA	NA	FALSE	Zm00004b006015	One-to-One	mRNA	moderate	conservative_inframe_insertion
Zm00001d001943	3	mu1059297|mu1066665|mu1080895	UFMu-07765|UFMu-08665|UFMu-09464	>=3	NA	NA	NA	NA	FALSE	Zm00004b006016	One-to-Many	mRNA	moderate	missense_variant
Zm00001d001944	1	mu1072617	UFMu-03510	1	NA	NA	NA	NA	FALSE	Zm00004b006016	One-to-Many	mRNA	non-syntenic	NA
Zm00001d001945	1	mu1021266	UFMu-01723	1	ARF	36	3	3/36	TRUE	Zm00004b006017	One-to-One	mRNA	high	frameshift_variant
Zm00001d001952	1	mu1065444	UFMu-00649	1	C3H	55	2	2/55	TRUE	Zm00004b006023	One-to-One	mRNA	high	exon_loss_variant
Zm00001d001964	2	mu1038469|mu1090276	UFMu-03512|UFMu-13454	2	NA	NA	NA	NA	FALSE	Zm00004b006031	One-to-Many	mRNA	moderate	disruptive_inframe_insertion
Zm00001d001966	1	mu1080901	UFMu-09441	1	NA	NA	NA	NA	FALSE	Zm00004b006032	One-to-One	mRNA	low	splice_region_variant
Zm00001d001973	2	mu1051439|mu1061731	UFMu-06195,UFMu-06603|UFMu-11320	2	NA	NA	NA	NA	FALSE	Zm00004b006037	One-to-Many	mRNA	moderate	disruptive_inframe_insertion
Zm00001d001974	3	mu1014162|mu1059304|mu1094079	UFMu-00828,UFMu-01479,UFMu-01480,UFMu-04045,UFMu-06195,UFMu-09492,UFMu-11304|UFMu-07864|UFMu-11704,UFMu-12198,UFMu-12606,UFMu-13946	>=3	NA	NA	NA	NA	FALSE	Zm00004b006037,Zm00004b006038	Many-to-Many,Many-to-One	mRNA	modifier	intron_variant
Zm00001d001976	1	mu1080904	UFMu-09528	1	NA	NA	NA	NA	FALSE	Zm00004b006039	One-to-One	mRNA	moderate	missense_variant
Zm00001d001987	1	mu1076743	UFMu-09211	1	NA	NA	NA	NA	FALSE	Zm00004b006049	One-to-One	mRNA	moderate	missense_variant
Zm00001d001988	2	mu1059309|mu1059309	UFMu-08182|UFMu-09621	2	NA	NA	NA	NA	FALSE	Zm00004b006050	One-to-One	mRNA	modifier	intron_variant
Zm00001d001990	1	mu1090294	UFMu-12959	1	NA	NA	NA	NA	FALSE	Zm00004b006052	One-to-One	mRNA	moderate	disruptive_inframe_insertion
Zm00001d001994	1	mu1038036	UFMu-03713	1	NA	NA	NA	NA	FALSE	Zm00004b006054	One-to-One	mRNA	moderate	missense_variant
Zm00001d002004	1	mu1059316	UFMu-07806	1	NA	NA	NA	NA	FALSE	Zm00004b006063	One-to-One	mRNA	moderate	conservative_inframe_insertion
Zm00001d002005	1	mu1038042	UFMu-04038	1	SBP	30	1	1/30	TRUE	Zm00004b006064	One-to-One	mRNA	moderate	disruptive_inframe_deletion
Zm00001d002006	1	mu1047463	UFMu-06272	1	NA	NA	NA	NA	FALSE	Zm00004b006066	One-to-One	mRNA	high	splice_donor_variant
Zm00001d002022	1	mu1079409	UFMu-09266	1	NA	NA	NA	NA	FALSE	Zm00004b006081	One-to-One	mRNA	moderate	missense_variant
Zm00001d002029	1	mu1066708	UFMu-08573	1	NA	NA	NA	NA	FALSE	Zm00004b006088	One-to-One	mRNA	moderate	missense_variant
Zm00001d002036	3	mu1013019|mu1055985|mu1080911	UFMu-01448|UFMu-07277|UFMu-09476	>=3	NA	NA	NA	NA	FALSE	Zm00004b006092	One-to-One	mRNA	high	frameshift_variant
Zm00001d002053	2	mu1070216|mu1086012	UFMu-02693|UFMu-11121	2	NA	NA	NA	NA	FALSE	Zm00004b006102	One-to-One	mRNA	no_change	NA
Zm00001d002058	3	mu1044850|mu1059327|mu1090324	UFMu-05706|UFMu-08145|UFMu-13996	>=3	NA	NA	NA	NA	FALSE	Zm00004b006108	One-to-One	mRNA	non-syntenic	disruptive_inframe_insertion
Zm00001d002063	2	mu1020016|mu1076773	UFMu-01088|UFMu-09285	2	NA	NA	NA	NA	FALSE	Zm00004b006110	One-to-One	mRNA	low	synonymous_variant
Zm00001d002065	1	mu1007653	UFMu-00444	1	NA	NA	NA	NA	FALSE	Zm00004b006112	One-to-One	mRNA	high	splice_acceptor_variant
Zm00001d002066	1	mu1090332	UFMu-12993	1	NA	NA	NA	NA	FALSE	Zm00004b006113	One-to-One	mRNA	moderate	conservative_inframe_insertion
Zm00001d002068	4	mu1020062|mu1040298|mu1071746|mu1090335	UFMu-01129|UFMu-02522|UFMu-01861|UFMu-14000	>=3	NA	NA	NA	NA	FALSE	Zm00004b006114	One-to-One	mRNA	moderate	disruptive_inframe_insertion
Zm00001d002083	1	mu1059335	UFMu-08183	1	NA	NA	NA	NA	FALSE	Zm00004b006127	One-to-One	mRNA	moderate	conservative_inframe_deletion
Zm00001d002084	1	mu1024377	UFMu-05585	1	NA	NA	NA	NA	FALSE	Zm00004b006129	One-to-One	mRNA	low	synonymous_variant
Zm00001d002086	1	mu1014212	UFMu-01263	1	NA	NA	NA	NA	FALSE	Zm00004b006131	One-to-One	mRNA	moderate	missense_variant
Zm00001d002087	1	mu1066717	UFMu-08618	1	NA	NA	NA	NA	FALSE	Zm00004b006132	One-to-One	mRNA	moderate	missense_variant
Zm00001d002089	3	mu1040929|mu1087760|mu1094582	UFMu-04729,UFMu-10973|UFMu-11079|UFMu-11973	>=3	NA	NA	NA	NA	FALSE	Zm00004b006134	One-to-One	mRNA	high	frameshift_variant
Zm00001d002091	1	mu1014215	UFMu-01245,UFMu-02558	1	NA	NA	NA	NA	FALSE	Zm00004b006136	One-to-One	mRNA	moderate	missense_variant
Zm00001d002098	3	mu1014220|mu1056003|mu1083231	UFMu-01575,UFMu-02085|UFMu-07644|UFMu-10401	>=3	NA	NA	NA	NA	FALSE	Zm00004b006146	One-to-One	mRNA	moderate	conservative_inframe_insertion
Zm00001d002105	3	mu1056004|mu1086026|mu1094584	UFMu-07184|UFMu-11084|UFMu-12310	>=3	NA	NA	NA	NA	FALSE	Zm00004b006151	One-to-One	mRNA	moderate	missense_variant
Zm00001d002115	1	mu1052523	UFMu-06554	1	NA	NA	NA	NA	FALSE	Zm00004b006152	One-to-One	mRNA	low	synonymous_variant
Zm00001d002127	1	mu1082029	UFMu-09898	1	NA	NA	NA	NA	FALSE	Zm00004b006162	One-to-One	mRNA	non-syntenic	missense_variant
Zm00001d002143	2	mu1008454|mu1018254	UFMu-00469|UFMu-00948	2	bZIP	128	1	1/128	TRUE	Zm00004b006179	One-to-One	mRNA	non-syntenic	start_lost
Zm00001d002147	1	mu1076813	UFMu-08888	1	NA	NA	NA	NA	FALSE	Zm00004b006183	One-to-One	mRNA	moderate	missense_variant
Zm00001d002149	1	mu1072714	UFMu-03102	1	NA	NA	NA	NA	FALSE	Zm00004b006185,Zm00004b006187	Many-to-One	mRNA	high	splice_acceptor_variant
Zm00001d002153	3	mu1042585|mu1042585|mu1094589	UFMu-05337,UFMu-10670|UFMu-07589|UFMu-11258	>=3	NA	NA	NA	NA	FALSE	Zm00004b006189	One-to-One	mRNA	high	frameshift_variant
Zm00001d002157	3	mu1023390|mu1047503|mu1052538	UFMu-02354|UFMu-06428|UFMu-06781	>=3	NA	NA	NA	NA	FALSE	Zm00004b006193	One-to-One	mRNA	moderate	missense_variant
Zm00001d002163	1	mu1056013	UFMu-07178	1	NA	NA	NA	NA	FALSE	Zm00004b006199	One-to-One	mRNA	moderate	missense_variant
Zm00001d002168	1	mu1090374	UFMu-11151	1	NA	NA	NA	NA	FALSE	Zm00004b006203	One-to-Many	mRNA	moderate	conservative_inframe_insertion
Zm00001d002172	1	mu1014238	UFMu-01867	1	NA	NA	NA	NA	FALSE	Zm00004b006206	One-to-One	mRNA	moderate	missense_variant
Zm00001d002173	1	mu1014259	UFMu-02229	1	NA	NA	NA	NA	FALSE	Zm00004b006208	One-to-One	mRNA	moderate	missense_variant
Zm00001d002178	1	mu1080925	UFMu-09492	1	NA	NA	NA	NA	FALSE	Zm00004b006212,Zm00004b006213	Many-to-One	mRNA	moderate	missense_variant
Zm00001d002181	1	mu1035474	UFMu-03462	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	missense_variant
Zm00001d002192	1	mu1066747	UFMu-08301	1	NA	NA	NA	NA	FALSE	Zm00004b006223	One-to-Many	mRNA	moderate	disruptive_inframe_deletion
Zm00001d002193	1	mu1066747	UFMu-08301	1	NA	NA	NA	NA	FALSE	Zm00004b006223	One-to-Many	mRNA	moderate	missense_variant
Zm00001d002212	2	mu1014263|mu1014263	UFMu-01204|UFMu-04426	2	NA	NA	NA	NA	FALSE	Zm00004b006236	One-to-Many	mRNA	non-syntenic	NA
Zm00001d002238	4	mu1018934|mu1049500|mu1085163|mu1086039	UFMu-00948|UFMu-06518|UFMu-10380|UFMu-10992	>=3	NA	NA	NA	NA	FALSE	Zm00004b006249	One-to-One	mRNA	no_change	NA
Zm00001d002244	1	mu1080929	UFMu-09464	1	NA	NA	NA	NA	FALSE	Zm00004b006255	One-to-One	mRNA	no_change	NA
Zm00001d002252	1	mu1056024	UFMu-07190	1	NA	NA	NA	NA	FALSE	Zm00004b006261	One-to-One	mRNA	moderate	missense_variant
Zm00001d002262	5	mu1015924|mu1015924|mu1017429|mu1022855|mu1042511	UFMu-02304|UFMu-13951|UFMu-00767|UFMu-02413|UFMu-05290	>=3	NA	NA	NA	NA	FALSE	Zm00004b006272	One-to-One	mRNA	no_change	NA
Zm00001d002266	2	mu1033370|mu1076828	UFMu-03256|UFMu-09145	2	NA	NA	NA	NA	FALSE	Zm00004b006275	One-to-One	mRNA	no_change	NA
Zm00001d002267	2	mu1019213|mu1090393	UFMu-01177|UFMu-12991	2	NA	NA	NA	NA	FALSE	Zm00004b006276	One-to-One	mRNA	no_change	NA
Zm00001d002282	1	mu1056030	UFMu-07676	1	NA	NA	NA	NA	FALSE	Zm00004b006288	One-to-One	mRNA	no_change	NA
Zm00001d002287	1	mu1069302	UFMu-08381	1	NA	NA	NA	NA	FALSE	Zm00004b006293	One-to-One	mRNA	high	stop_gained
Zm00001d002319	1	mu1090408	UFMu-12039	1	NA	NA	NA	NA	FALSE	Zm00004b006318	One-to-One	mRNA	non-syntenic	missense_variant
Zm00001d002320	4	mu1022141|mu1037759|mu1055680|mu1070892	UFMu-01984|UFMu-03526|UFMu-07604|UFMu-02898	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	exon_loss_variant
Zm00001d002324	1	mu1043697	UFMu-04894	1	NA	NA	NA	NA	FALSE	Zm00004b006320	One-to-Many	mRNA	no_change	NA
Zm00001d002325	1	mu1044642	UFMu-05472	1	NA	NA	NA	NA	FALSE	Zm00004b006320	One-to-Many	mRNA	low	synonymous_variant
Zm00001d002330	1	mu1017456	UFMu-00795	1	NA	NA	NA	NA	FALSE	Zm00004b006323	One-to-One	mRNA	moderate	missense_variant
Zm00001d002338	2	mu1007329|mu1076440	UFMu-00317,UFMu-00741,UFMu-02672,UFMu-03763|UFMu-09139	2	NA	NA	NA	NA	FALSE	Zm00004b006327	One-to-One	mRNA	moderate	missense_variant
Zm00001d002341	1	mu1076441	UFMu-09346,UFMu-11159	1	NA	NA	NA	NA	FALSE	Zm00004b006331	One-to-One	mRNA	moderate	missense_variant
Zm00001d002345	6	mu1028433|mu1040781|mu1070893|mu1073219|mu1084614|mu1089742	UFMu-01599|UFMu-04496|UFMu-02510|UFMu-03229|UFMu-10188,UFMu-11932|UFMu-11143	>=3	NA	NA	NA	NA	FALSE	Zm00004b006335	One-to-One	mRNA	no_change	NA
Zm00001d002349	1	mu1040783	UFMu-04518	1	NA	NA	NA	NA	FALSE	Zm00004b006339	One-to-One	mRNA	high	splice_acceptor_variant
