mid	sids	gid	etype	eidx
mu1001703	UFMu-00276,UFMu-06989	Zm00001d039656	utr5	1
mu1001718	UFMu-00242,UFMu-03664,UFMu-04514	Zm00001d049759	utr5	1
mu1001723	UFMu-00111,UFMu-02923,UFMu-03248,UFMu-04291,UFMu-05373,UFMu-05424,UFMu-09505	Zm00001d010241	intron	3
mu1001730	UFMu-00117,UFMu-05081	Zm00001d028097	utr5	1
mu1001735	UFMu-00130	Zm00001d033664	utr5	1
mu1001740	UFMu-00424,UFMu-04177,UFMu-04529,UFMu-07995	Zm00001d038861	utr5	1
mu1001741	UFMu-00570,UFMu-01166,UFMu-03169,UFMu-06867	Zm00001d028512	intron	2
mu1001742	UFMu-00130	Zm00001d048143	cds	3
mu1001778	UFMu-00424,UFMu-03220,UFMu-04177,UFMu-07996,UFMu-11933	Zm00001d036454	intron	2
mu1001796	UFMu-00388	Zm00001d049884	utr5	1
mu1001801	UFMu-00309	Zm00001d036340	cds	3
mu1001830	UFMu-00276,UFMu-01145,UFMu-05007,UFMu-05749,UFMu-06512	Zm00001d027544	utr5	1
mu1001846	UFMu-00197,UFMu-06858	Zm00001d013065	utr5	1
mu1001850	UFMu-00130,UFMu-01296,UFMu-03792	Zm00001d048157	cds	2
mu1001862	UFMu-02591,UFMu-03524,UFMu-08147	Zm00001d015658	utr5	1
mu1001875	UFMu-00357,UFMu-01284,UFMu-03198,UFMu-04284,UFMu-06825,UFMu-10763	Zm00001d015125	intron	1
mu1001881	UFMu-01283,UFMu-04284,UFMu-06825,UFMu-00357,UFMu-03198,UFMu-10763	Zm00001d015568	utr5	2
mu1001894	UFMu-00345,UFMu-01304	Zm00001d046748	cds	2
mu1001915	UFMu-00336,UFMu-00741	Zm00001d004118	cds	1
mu1001920	UFMu-00227,UFMu-00855,UFMu-05000,UFMu-08092	Zm00001d016938	utr5	1
mu1001944	UFMu-00571,UFMu-02891,UFMu-04059	Zm00001d010527	cds	1
mu1001948	UFMu-00272	Zm00001d045735	cds	2
mu1001968	UFMu-01276,UFMu-03705,UFMu-04284,UFMu-04893	Zm00001d020900	utr3	1
mu1001974	UFMu-00399,UFMu-01276,UFMu-02571,UFMu-03176	Zm00001d033584	cds	1
mu1001985	UFMu-00067	Zm00001d052053	cds	1
mu1001995	UFMu-12961,UFMu-13840,UFMu-00431,UFMu-04988,UFMu-07582	Zm00001d028907	utr5	1
mu1002014	UFMu-00069	Zm00001d010390	cds	1
mu1002044	UFMu-00154,UFMu-02558,UFMu-03660,UFMu-07922,UFMu-11846,UFMu-12502,UFMu-13145,UFMu-13795	Zm00001d012450	intron	1
mu1002055	UFMu-00297	Zm00001d038105	cds	2
mu1002082	UFMu-06504,UFMu-00059	Zm00001d049457	cds	1
mu1002097	UFMu-00126	Zm00001d036495	intron	1
mu1002130	UFMu-00167,UFMu-00826,UFMu-02657,UFMu-06183	Zm00001d040641	utr5	1
mu1002168	UFMu-00388	Zm00001d048867	cds	5
mu1002203	UFMu-00202,UFMu-07655	Zm00001d042676	utr5	1
mu1002207	UFMu-00202,UFMu-05296	Zm00001d031059	utr5	1
mu1002213	UFMu-00003	Zm00001d011245	utr5	1
mu1002222	UFMu-00411	Zm00001d036724	utr5	1
mu1002244	UFMu-00431	Zm00001d032681	cds	1
mu1002246	UFMu-00494,UFMu-00886,UFMu-06843,UFMu-10381,UFMu-10948	Zm00001d017887	utr5	1
mu1002270	UFMu-11109	Zm00001d026614	utr5	1
mu1002275	UFMu-00495	Zm00001d045199	cds	1
mu1002301	UFMu-00231	Zm00001d021181	utr5	1
mu1002324	UFMu-00126,UFMu-01339,UFMu-04211,UFMu-05253	Zm00001d018936	intron	2
mu1002352	UFMu-00309	Zm00001d012936	utr5	1
mu1002361	UFMu-00213	Zm00001d035442	cds	1
mu1002366	UFMu-00130	Zm00001d048363	intron	1
mu1002394	UFMu-00357	Zm00001d038174	utr5	1
mu1002423	UFMu-00431	Zm00001d044192	intron	2
mu1002466	UFMu-00424	Zm00001d018443	utr5	1
mu1002471	UFMu-05725	Zm00001d010282	utr5	1
mu1002472	UFMu-00556	Zm00001d039379	cds	1
mu1002516	UFMu-00556	Zm00001d045477	intron	1
mu1002545	UFMu-00403,UFMu-02634,UFMu-03291,UFMu-04791,UFMu-05243	Zm00001d031420	utr5	1
mu1002560	UFMu-00491	Zm00001d049457	cds	1
mu1002589	UFMu-00345,UFMu-01304,UFMu-04988,UFMu-05725,UFMu-08041	Zm00001d002028	utr5	1
mu1002653	UFMu-04688,UFMu-05378	Zm00001d052873	utr5	1
mu1002700	UFMu-06119,UFMu-07137,UFMu-10787	Zm00001d006552	utr5	1
mu1002710	UFMu-00123,UFMu-00623,UFMu-01344,UFMu-03223,UFMu-03657	Zm00001d038961	cds	1
mu1002728	UFMu-00424,UFMu-00800,UFMu-02591,UFMu-03220,UFMu-07659	Zm00001d001937	intron	1
mu1002738	UFMu-00277	Zm00001d052847	intron	3
mu1002746	UFMu-00067,UFMu-00846,UFMu-03763,UFMu-05911,UFMu-11981	Zm00001d053564	cds	1
mu1002775	UFMu-00389	Zm00001d010948	intron	3
mu1002787	UFMu-00406	Zm00001d015968	intron	1
mu1002804	UFMu-02634,UFMu-03270,UFMu-07420	Zm00001d029130	utr5	1
mu1002806	UFMu-00407	Zm00001d044302	cds	1
mu1002809	UFMu-00431	Zm00001d005732	utr5	1
mu1002815	UFMu-00357,UFMu-01283,UFMu-04511	Zm00001d034248	cds	2
mu1002821	UFMu-00317,UFMu-07363	Zm00001d023239	utr5	1
mu1002822	UFMu-00557,UFMu-03118,UFMu-04893,UFMu-08028	Zm00001d047911	intron	2
mu1002826	UFMu-00317	Zm00001d017053	utr5	1
mu1002834	UFMu-00130	Zm00001d026000	utr5	1
mu1002850	UFMu-00250	Zm00001d043895	utr5	1
mu1002861	UFMu-00202	Zm00001d020810	utr5	1
mu1002870	UFMu-00406	Zm00001d018595	intron	1
mu1002903	UFMu-00227	Zm00001d033158	cds	1
mu1002919	UFMu-00357	Zm00001d027893	cds	8
mu1002921	UFMu-00399,UFMu-01001,UFMu-05989	Zm00001d029408	utr5	1
mu1002923	UFMu-00388	Zm00001d045382	utr5	1
mu1002948	UFMu-00399	Zm00001d039039	utr5	1
mu1002974	UFMu-00300	Zm00001d012538	cds	1
mu1003027	UFMu-00374,UFMu-05761	Zm00001d017905	cds	1
mu1003039	UFMu-09098	Zm00001d045109	utr5	1
mu1003041	UFMu-00332,UFMu-01062,UFMu-02816,UFMu-04282	Zm00001d006835	utr5	1
mu1003068	UFMu-00086,UFMu-00750,UFMu-04205	Zm00001d034251	utr5	1
mu1003115	UFMu-00424	Zm00001d015231	utr5	1
mu1003130_2	UFMu-00357	Zm00001d047470	cds	1
mu1003138	UFMu-00416	Zm00001d032306	utr5	1
mu1003148	UFMu-00553	Zm00001d053197	utr5	1
mu1003160	UFMu-00225,UFMu-08241	Zm00001d016815	cds	1
mu1003164	UFMu-00086	Zm00001d042534	intron	1
mu1003164_3	UFMu-00086	Zm00001d016239	intron	1
mu1003183	UFMu-00298	Zm00001d021672	utr5	1
mu1003228	UFMu-00461	Zm00001d013721	cds	1
mu1003276	UFMu-00305	Zm00001d049785	utr5	1
mu1003314	UFMu-02590,UFMu-03657	Zm00001d006408	intron	1
mu1003318	UFMu-00260,UFMu-02844,UFMu-03244,UFMu-04184,UFMu-04657,UFMu-04968,UFMu-05423,UFMu-11161	Zm00001d027276	utr5	1
mu1003318	UFMu-00260,UFMu-02844,UFMu-03244,UFMu-04184,UFMu-04657,UFMu-04968,UFMu-05423,UFMu-11161	Zm00001d027277	utr5	1
mu1003333	UFMu-00385,UFMu-01040	Zm00001d045147	utr5	1
mu1003334	UFMu-00227	Zm00001d012881	utr3	1
mu1003353	UFMu-00355	Zm00001d016691	utr5	1
mu1003391	UFMu-00086	Zm00001d014742	utr5	1
mu1003401	UFMu-00431	Zm00001d034673	utr5	1
mu1003404	UFMu-00213	Zm00001d039176	intron	1
mu1003408	UFMu-00416,UFMu-02704,UFMu-12023	Zm00001d039016	utr5	1
mu1003409	UFMu-00285	Zm00001d034724	utr5	1
mu1003420	UFMu-00500	Zm00001d047961	utr5	1
mu1003443	UFMu-00522,UFMu-06523	Zm00001d014899	cds	1
mu1003451	UFMu-00488	Zm00001d027731	intron	6
mu1003455	UFMu-00218	Zm00001d018906	utr3	1
mu1003459	UFMu-00002	Zm00001d003621	intron	7
mu1003467	UFMu-00214,UFMu-01489,UFMu-03101,UFMu-04172,UFMu-11156	Zm00001d030529	intron	1
mu1003476	UFMu-00231	Zm00001d037028	intron	1
mu1003478	UFMu-00206	Zm00001d019305	intron	1
mu1003485	UFMu-00422	Zm00001d013025	utr5	1
mu1003500	UFMu-00292,UFMu-06559,UFMu-11569	Zm00001d038803	utr5	1
mu1003504	UFMu-00005,UFMu-07494	Zm00001d010308	utr5	1
mu1003507	UFMu-00254	Zm00001d010162	utr5	1
mu1003508	UFMu-06719,UFMu-07765,UFMu-10519,UFMu-11156	Zm00001d033574	intron	1
mu1003521	UFMu-00072	Zm00001d011519	intron	1
mu1003525	UFMu-01890	Zm00001d042939	intron	1
mu1003529	UFMu-00286,UFMu-02873,UFMu-04155,UFMu-04498	Zm00001d045358	intron	1
mu1003534	UFMu-00414	Zm00001d033572	cds	4
mu1003536	UFMu-00214,UFMu-00901,UFMu-01241,UFMu-02462	Zm00001d031560	cds	2
mu1003547	UFMu-00538,UFMu-02587,UFMu-03080,UFMu-06594	Zm00001d001928	utr5	1
mu1003588	UFMu-00198,UFMu-11213	Zm00001d047667	cds	2
mu1003596	UFMu-00514,UFMu-02565,UFMu-04168,UFMu-05585,UFMu-07749	Zm00001d046060	utr5	1
mu1003597	UFMu-06891,UFMu-00201	Zm00001d032520	intron	6
mu1003598	UFMu-09478,UFMu-00268	Zm00001d031101	utr5	1
mu1003608	UFMu-00123,UFMu-00986,UFMu-02866,UFMu-03299,UFMu-03774,UFMu-05586,UFMu-10826	Zm00001d028257	intron	3
mu1003624	UFMu-00232,UFMu-01228	Zm00001d022588	utr5	1
mu1003631	UFMu-00159	Zm00001d009926	cds	13
mu1003642	UFMu-00562	Zm00001d028047	cds	1
mu1003653	UFMu-00536	Zm00001d002166	intron	8
mu1003663	UFMu-00466,UFMu-09476	Zm00001d015234	utr5	1
mu1003673	UFMu-00218,UFMu-05429,UFMu-05978	Zm00001d008724	intron	2
mu1003677	UFMu-00500,UFMu-00876,UFMu-03304,UFMu-03696	Zm00001d016009	cds	1
mu1003693	UFMu-00354	Zm00001d007504	cds	1
mu1003719	UFMu-00469,UFMu-06782	Zm00001d044849	cds	2
mu1003725	UFMu-00277	Zm00001d020107	cds	1
mu1003743	UFMu-00528,UFMu-00601,UFMu-01358,UFMu-02584,UFMu-03191	Zm00001d044232	utr5	1
mu1003749	UFMu-00466,UFMu-02510,UFMu-03427,UFMu-06530	Zm00001d013632	utr5	1
mu1003756	UFMu-00298	Zm00001d028180	utr5	2
mu1003761	UFMu-00142	Zm00001d026192	intron	11
mu1003761	UFMu-00142	Zm00001d026193	utr5	1
mu1003777	UFMu-00206	Zm00001d040596	utr5	1
mu1003797	UFMu-00354	Zm00001d005554	cds	1
mu1003804	UFMu-00529	Zm00001d011308	intron	1
mu1003805	UFMu-00210	Zm00001d044290	intron	9
mu1003817	UFMu-05723	Zm00001d047985	utr5	1
mu1003825	UFMu-00369,UFMu-02610,UFMu-04209,UFMu-06890,UFMu-07758	Zm00001d044652	cds	3
mu1003835	UFMu-00432	Zm00001d043216	cds	4
mu1003840	UFMu-05986	Zm00001d040641	utr5	1
mu1003841	UFMu-00386,UFMu-11986	Zm00001d049192	utr5	1
mu1003856	UFMu-00500	Zm00001d004196	cds	2
mu1003866	UFMu-00576	Zm00001d042402	cds	1
mu1003878	UFMu-00726,UFMu-03298,UFMu-03727,UFMu-05391	Zm00001d032226	intron	1
mu1003891	UFMu-00013,UFMu-01782,UFMu-03538	Zm00001d049884	utr5	1
mu1003897	UFMu-00013	Zm00001d013785	utr5	1
mu1003924	UFMu-00142	Zm00001d050310	cds	2
mu1003926	UFMu-00198,UFMu-01123,UFMu-02611,UFMu-03538,UFMu-05720	Zm00001d013676	intron	2
mu1003932	UFMu-00514	Zm00001d034080	intron	3
mu1003958	UFMu-00444,UFMu-01040,UFMu-05482	Zm00001d052750	utr5	1
mu1003972	UFMu-00332,UFMu-01062,UFMu-02816,UFMu-06822,UFMu-07512	Zm00001d016863	intron	2
mu1003985	UFMu-00316	Zm00001d001959	utr5	1
mu1003986	UFMu-00576	Zm00001d047812	utr5	1
mu1004010	UFMu-00342	Zm00001d026584	cds	1
mu1004012	UFMu-06015,UFMu-07372,UFMu-00142,UFMu-05330	Zm00001d048115	intron	1
mu1004024	UFMu-00165,UFMu-00744,UFMu-04198,UFMu-04791,UFMu-05104,UFMu-11177,UFMu-12206	Zm00001d049363	intron	1
mu1004043	UFMu-00513,UFMu-02858,UFMu-05585,UFMu-07749	Zm00001d044405	utr5	1
mu1004051	UFMu-00268	Zm00001d011563	cds	1
mu1004052	UFMu-00321	Zm00001d048447	intron	14
mu1004069	UFMu-00458	Zm00001d043187	utr5	1
mu1004079	UFMu-00522,UFMu-06498	Zm00001d039401	utr5	1
mu1004083	UFMu-00232,UFMu-00651,UFMu-01250	Zm00001d021087	utr5	1
mu1004084	UFMu-00536,UFMu-01269	Zm00001d032275	cds	1
mu1004085	UFMu-00214,UFMu-00718,UFMu-02876,UFMu-05984,UFMu-06719,UFMu-10539	Zm00001d034615	intron	1
mu1004094	UFMu-00441,UFMu-02835,UFMu-03447,UFMu-03654	Zm00001d002676	utr5	1
mu1004103	UFMu-00422,UFMu-07676	Zm00001d053732	utr5	1
mu1004112	UFMu-00441,UFMu-01180,UFMu-03297,UFMu-04168,UFMu-05585	Zm00001d038775	utr5	1
mu1004125	UFMu-00385	Zm00001d049724	cds	2
mu1004137	UFMu-00385	Zm00001d017153	utr5	1
mu1004139	UFMu-00214,UFMu-00718,UFMu-03460,UFMu-05789	Zm00001d044469	cds	1
mu1004143	UFMu-00214	Zm00001d031059	utr5	1
mu1004144	UFMu-09017	Zm00001d053672	utr5	1
mu1004166	UFMu-00418	Zm00001d013767	cds	8
mu1004198	UFMu-00085	Zm00001d047501	cds	1
mu1004217	UFMu-00095,UFMu-07643	Zm00001d021582	utr5	1
mu1004224	UFMu-00544	Zm00001d017172	utr5	1
mu1004225	UFMu-00570	Zm00001d026425	utr5	1
mu1004230	UFMu-00214	Zm00001d035657	utr5	1
mu1004240	UFMu-00223,UFMu-01763,UFMu-03191	Zm00001d043170	cds	1
mu1004245	UFMu-00253	Zm00001d000150	cds	1
mu1004267	UFMu-00002	Zm00001d044600	intron	7
mu1004269	UFMu-00400,UFMu-02806,UFMu-05147	Zm00001d005503	utr5	1
mu1004279	UFMu-00414	Zm00001d036110	utr5	1
mu1004282	UFMu-07398,UFMu-00310,UFMu-03474	Zm00001d027487	utr5	1
mu1004295	UFMu-00385	Zm00001d047911	intron	1
mu1004297	UFMu-00175	Zm00001d029266	cds	1
mu1004340	UFMu-00514,UFMu-07457	Zm00001d026540	utr5	2
mu1004342	UFMu-00168,UFMu-00859	Zm00001d040320	cds	1
mu1004348	UFMu-00002	Zm00001d028311	cds	1
mu1004350	UFMu-00343	Zm00001d002711	intron	2
mu1004356	UFMu-00500,UFMu-03101,UFMu-04476,UFMu-11067	Zm00001d035503	intron	2
mu1004370	UFMu-00342	Zm00001d029919	intron	1
mu1004373	UFMu-07362	Zm00001d016803	utr5	1
mu1004376	UFMu-00012	Zm00001d026290	utr5	1
mu1004382	UFMu-00231	Zm00001d016837	cds	1
mu1004394	UFMu-00172,UFMu-00774,UFMu-05769	Zm00001d042312	utr5	1
mu1004401	UFMu-00544,UFMu-01808,UFMu-02692,UFMu-03303,UFMu-07675	Zm00001d021948	utr5	1
mu1004406	UFMu-00214	Zm00001d000152	utr5	1
mu1004416	UFMu-00466,UFMu-04864	Zm00001d047780	utr5	1
mu1004420	UFMu-00385,UFMu-06409,UFMu-07438	Zm00001d033038	utr3	1
mu1004425	UFMu-00232,UFMu-00661,UFMu-02650,UFMu-03525,UFMu-04007,UFMu-04422,UFMu-05791,UFMu-12236,UFMu-13999	Zm00001d047854	utr5	1
mu1004435	UFMu-00218	Zm00001d021709	utr5	1
mu1004437	UFMu-00310	Zm00001d012167	cds	5
mu1004439	UFMu-00560,UFMu-02609,UFMu-03480,UFMu-03763,UFMu-04763,UFMu-05305,UFMu-11250	Zm00001d019075	cds	1
mu1004444	UFMu-00214	Zm00001d047852	cds	1
mu1004447	UFMu-00466,UFMu-06651,UFMu-07620	Zm00001d013441	utr5	1
mu1004454	UFMu-00310	Zm00001d007767	utr3	1
mu1004478	UFMu-00157,UFMu-02978,UFMu-03261	Zm00001d048796	utr5	1
mu1004487	UFMu-00271	Zm00001d019700	intron	1
mu1004488	UFMu-00165,UFMu-03194	Zm00001d043929	cds	1
mu1004534	UFMu-00214	Zm00001d044823	intron	2
mu1004546	UFMu-00343	Zm00001d034244	cds	5
mu1004558	UFMu-00268	Zm00001d035487	utr5	1
mu1004561	UFMu-05383,UFMu-00071,UFMu-00948,UFMu-04886	Zm00001d002333	utr3	1
mu1004565	UFMu-00260,UFMu-02633	Zm00001d026244	cds	1
mu1004589	UFMu-00414	Zm00001d042621	cds	1
mu1004600	UFMu-00352	Zm00001d023882	intron	2
mu1004608	UFMu-00142	Zm00001d010403	utr5	1
mu1004621	UFMu-00332,UFMu-01062	Zm00001d043625	intron	2
mu1004624	UFMu-00425	Zm00001d006439	utr5	1
mu1004630	UFMu-00123,UFMu-00986,UFMu-03774,UFMu-05586,UFMu-07248,UFMu-10826	Zm00001d053282	cds	2
mu1004633	UFMu-00536,UFMu-01269	Zm00001d026668	utr5	1
mu1004640	UFMu-00223,UFMu-03510,UFMu-03763	Zm00001d016757	cds	1
mu1004644	UFMu-00215	Zm00001d019495	utr5	1
mu1004651	UFMu-00021,UFMu-06794	Zm00001d002351	intron	1
mu1004655	UFMu-00500,UFMu-00876,UFMu-02850,UFMu-03304	Zm00001d023987	utr5	1
mu1004701_2	UFMu-00426,UFMu-02876,UFMu-04890,UFMu-06719,UFMu-07759	Zm00001d034512	utr5	1
mu1004704	UFMu-00457,UFMu-01150,UFMu-01759,UFMu-07329	Zm00001d014961	utr5	1
mu1004707	UFMu-00458	Zm00001d028975	cds	11
mu1004715	UFMu-00386,UFMu-02892,UFMu-04666,UFMu-09890	Zm00001d007905	utr5	1
mu1004721	UFMu-00399,UFMu-06735	Zm00001d022615	cds	1
mu1004732	UFMu-00514	Zm00001d028047	cds	1
mu1004740	UFMu-00575	Zm00001d042709	utr5	1
mu1004741	UFMu-00198,UFMu-03518,UFMu-11159	Zm00001d034055	utr5	1
mu1004768_2	UFMu-00391,UFMu-01081,UFMu-02568,UFMu-04906	Zm00001d042627	intron	1
mu1004775	UFMu-00514,UFMu-02835,UFMu-03654,UFMu-07488,UFMu-07749	Zm00001d023918	cds	2
mu1004801	UFMu-00514,UFMu-04168,UFMu-05585,UFMu-07749	Zm00001d003640	utr5	1
mu1004808	UFMu-00332	Zm00001d051396	utr5	1
mu1004820	UFMu-00071	Zm00001d029829	intron	7
mu1004821	UFMu-00377,UFMu-02585	Zm00001d003322	utr5	1
mu1004828	UFMu-00385,UFMu-01180,UFMu-04168,UFMu-05108	Zm00001d043058	utr5	1
mu1004843	UFMu-00292	Zm00001d032158	cds	2
mu1004860_2	UFMu-00466	Zm00001d048540	intron	1
mu1004867	UFMu-00178,UFMu-03731,UFMu-06276,UFMu-06592,UFMu-10519	Zm00001d039181	intron	5
mu1004869	UFMu-00164	Zm00001d032693	cds	1
mu1004871	UFMu-00013	Zm00001d006920	utr5	1
mu1004884	UFMu-00458	Zm00001d037257	intron	1
mu1004889	UFMu-00013,UFMu-02611,UFMu-01123	Zm00001d026277	utr5	1
mu1004894	UFMu-00214	Zm00001d011827	intron	2
mu1004895	UFMu-00563	Zm00001d050329	intron	5
mu1004904	UFMu-00117,UFMu-05081	Zm00001d002064	utr5	1
mu1004921	UFMu-03774,UFMu-12141	Zm00001d013642	utr5	1
mu1004946	UFMu-00386	Zm00001d044673	utr5	1
mu1004951	UFMu-00247,UFMu-13439	Zm00001d029084	utr5	1
mu1004953	UFMu-00679,UFMu-02606,UFMu-03195	Zm00001d035029	utr5	1
mu1004980	UFMu-00386	Zm00001d050955	cds	1
mu1004981	UFMu-00123,UFMu-12009	Zm00001d047612	cds	3
mu1004985	UFMu-00401,UFMu-06719	Zm00001d044667	cds	5
mu1005011	UFMu-00398	Zm00001d012503	utr5	1
mu1005023	UFMu-00386	Zm00001d017306	utr5	1
mu1005031	UFMu-01253	Zm00001d014701	utr5	1
mu1005037	UFMu-00117	Zm00001d032722	cds	2
mu1005041	UFMu-00386	Zm00001d024722	utr5	1
mu1005054	UFMu-00206	Zm00001d026190	utr5	1
mu1005059	UFMu-06211,UFMu-00092,UFMu-01782,UFMu-03538,UFMu-05929	Zm00001d044653	utr5	3
mu1005100	UFMu-00292	Zm00001d044073	intron	2
mu1005109	UFMu-00095	Zm00001d033396	utr5	1
mu1005119	UFMu-00152	Zm00001d002372	utr5	1
mu1005139	UFMu-00184	Zm00001d009017	utr5	1
mu1005160	UFMu-00458	Zm00001d042111	utr5	1
mu1005167	UFMu-00084	Zm00001d037446	cds	1
mu1005171	UFMu-00385	Zm00001d009760	intron	1
mu1005174	UFMu-00441,UFMu-02860,UFMu-03447,UFMu-04168,UFMu-05585	Zm00001d018066	cds	2
mu1005187	UFMu-00013	Zm00001d025398	utr5	1
mu1005189	UFMu-00136	Zm00001d043022	cds	1
mu1005190	UFMu-00136	Zm00001d008411	utr5	1
mu1005208	UFMu-05784,UFMu-05989,UFMu-10635	Zm00001d015259	utr5	1
mu1005210	UFMu-00528,UFMu-00601	Zm00001d043601	intron	2
mu1005212	UFMu-00386	Zm00001d031653	cds	1
mu1005218	UFMu-00170	Zm00001d041395	intron	1
mu1005235	UFMu-07356,UFMu-10308,UFMu-00316	Zm00001d026584	cds	1
mu1005295	UFMu-00516	Zm00001d041748	intron	1
mu1005305	UFMu-00488	Zm00001d044812	utr3	1
mu1005341	UFMu-00385	Zm00001d013204	cds	1
mu1005358	UFMu-00212,UFMu-00670,UFMu-02687,UFMu-05868	Zm00001d032956	utr5	1
mu1005360	UFMu-00475,UFMu-04172,UFMu-04891,UFMu-06719,UFMu-07765,UFMu-10519	Zm00001d033574	intron	1
mu1005396	UFMu-00410,UFMu-00737,UFMu-02760,UFMu-03695,UFMu-07173,UFMu-10842	Zm00001d018111	intron	4
mu1005423	UFMu-00386	Zm00001d021269	utr5	1
mu1005433	UFMu-00232	Zm00001d032609	intron	1
mu1005437	UFMu-00488	Zm00001d021775	cds	2
mu1005456	UFMu-00065	Zm00001d020862	cds	1
mu1005470	UFMu-00013,UFMu-04020	Zm00001d034533	intron	1
mu1005476	UFMu-00318,UFMu-04282	Zm00001d007870	intron	3
mu1005477	UFMu-00166,UFMu-03244	Zm00001d007755	utr5	1
mu1005478	UFMu-00232	Zm00001d035598	cds	14
mu1005487	UFMu-00002	Zm00001d017773	utr5	1
mu1005511	UFMu-00242,UFMu-00920,UFMu-03237,UFMu-04312,UFMu-04889	Zm00001d014658	utr5	1
mu1005513	UFMu-00184	Zm00001d033780	intron	1
mu1005514	UFMu-00399,UFMu-04174,UFMu-06421	Zm00001d005373	utr5	1
mu1005529	UFMu-00514,UFMu-04168,UFMu-05585,UFMu-09919,UFMu-12413	Zm00001d033984	utr5	1
mu1005532	UFMu-00071,UFMu-03270	Zm00001d029938	cds	1
mu1005535	UFMu-11199	Zm00001d022139	utr5	1
mu1005539	UFMu-01260,UFMu-03323,UFMu-04178,UFMu-06822	Zm00001d049000	cds	1
mu1005542	UFMu-00293,UFMu-03481,UFMu-07348	Zm00001d030518	utr5	1
mu1005548	UFMu-00514	Zm00001d009132	utr5	1
mu1005549	UFMu-00166	Zm00001d028730	utr5	1
mu1005554	UFMu-00232,UFMu-02954	Zm00001d037215	utr5	1
mu1005566	UFMu-00096,UFMu-06928	Zm00001d033037	utr5	1
mu1005573	UFMu-00107	Zm00001d026676	cds	3
mu1005574	UFMu-00502,UFMu-00867,UFMu-05764,UFMu-09476,UFMu-10517,UFMu-11149,UFMu-12590	Zm00001d008891	cds	1
mu1005575	UFMu-00223,UFMu-03157	Zm00001d033237	intron	1
mu1005583	UFMu-00514	Zm00001d016308	utr5	1
mu1005596	UFMu-00471	Zm00001d027510	utr5	1
mu1005604	UFMu-00386	Zm00001d013451	cds	1
mu1005607	UFMu-00212	Zm00001d053232	utr5	1
mu1005617	UFMu-06497,UFMu-07813,UFMu-13210,UFMu-13470,UFMu-00332	Zm00001d033272	utr5	1
mu1005619	UFMu-00321,UFMu-06935	Zm00001d044091	utr5	1
